('hosup_res/problems/sh-no-bools/Arrow_Order/prob_289__5198484_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_291__5198552_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_293__5198626_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_295__5198816_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_299__5198872_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_29__5185756_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_300__5198906_1', 'THM')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_303__5199024_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_307__5199152_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_308__5199284_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_310__5199380_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_311__5199444_1', 'THM')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_32__5185918_1', 'THM')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_41__5186208_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_42__5186286_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_46__5186346_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_47__5186364_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_51__5186528_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_55__5186566_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_56__5186710_1', 'THM')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_78__5187314_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_81__5187380_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_87__5187472_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_93__5187562_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_98__5187738_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_113__3226078_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_118__3226112_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_120__3226150_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_123__3226176_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_126__3226212_1', 'THM')
